Nome do Município;Valor ICMS;Valor IPI;Valor IPVA;Valor Total
VARGEM ALEGRE;747814.89;9131.58;321958.45;1078904.92
VARGEM BONITA;939561.5;11481.67;154796.36;1105839.53
VARGEM GRANDE DO RIO PARDO;716324.45;8740.31;152954.26;878019.02
VARGINHA;32366898.86;393490.56;18626631.39;51387020.81
VARJAO DE MINAS;1859408.15;22649.01;522746.82;2404803.98
VARZEA DA PALMA;4565655.92;55614.21;2108169.61;6729439.74
VARZELANDIA;1303024.46;15864.59;465798.85;1784687.9
VAZANTE;5145246.16;62725.95;2713150.96;7921123.07
VERDELANDIA;1242584.05;15165.4;145294.17;1403043.62
VEREDINHA;896951.99;10853.59;300463.71;1208269.29
VERISSIMO;1591756.23;19369.08;122214.19;1733339.5
VERMELHO NOVO;728838.13;8887.34;308333.13;1046058.6
VESPASIANO;12760535.75;154976.73;8201686.35;21117198.83
VICOSA;6867254.22;83612.57;9248062.7;16198929.49
VIEIRAS;713755.35;8747.43;267902.37;990405.15
VIRGEM DA LAPA;1018985.49;12416.54;521930.46;1553332.49
VIRGINIA;997861.06;12142.75;768291.21;1778295.02
VIRGINOPOLIS;1195896.57;14512.36;797974.88;2008383.81
VIRGOLANDIA;665968.41;8094.63;162416.99;836480.03
VISCONDE DO RIO BRANCO;6117181.78;74091.41;4251253.65;10442526.84
VOLTA GRANDE;1355715.43;16495.04;278975.64;1651186.11
WENCESLAU BRAZ;530103.64;6509.61;126579.65;663192.9
