Nome do Município;Valor ICMS;Valor IPI;Valor IPVA;Valor Total
PIAU;709320.96;8677.62;251914.15;969912.73
PIEDADE DE CARATINGA;1033203.65;12600.11;556038.06;1601841.82
PIEDADE DE PONTE NOVA;994576.88;12179.43;211148.35;1217904.66
PIEDADE DO RIO GRANDE;896928.78;10868.7;259866.92;1167664.4
PIEDADE DOS GERAIS;1101216.35;13385.91;405450.12;1520052.38
PIMENTA;1825915.75;22191.52;1003242.96;2851350.23
PINGO D' AGUA;639552.29;7822.06;134200.15;781574.5
PINTOPOLIS;838829.35;10219.93;115475.39;964524.67
PIRACEMA;1460018.25;17889.18;538281.35;2016188.78
PIRAJUBA;3366778.54;40726.73;695531.01;4103036.28
PIRANGA;1706910.7;20762.35;885597.56;2613270.61
PIRANGUCU;952231.38;11632.17;362841.62;1326705.17
PIRANGUINHO;1125595.31;13716.76;852337.33;1991649.4
PIRAPETINGA;2605424.14;31698.44;1122590.75;3759713.33
PIRAPORA;9836541.01;120573.2;4110490.81;14067605.02
PIRAUBA;1252078.89;15222.49;806878.48;2074179.86
PITANGUI;3235973.18;39492.86;3112165.78;6387631.82
PIUMHI;6038170.92;73360.29;4770863.93;10882395.14
PLANURA;4402081.33;53294.8;960344.73;5415720.86
POCO FUNDO;2039846.42;24864.89;2056568.93;4121280.24
POCOS DE CALDAS;34516056.62;419285.29;27770177.02;62705518.93
POCRANE;924351.88;11300.08;457849.23;1393501.19
POMPEU;5646716.26;68800.31;2489411.8;8204928.37
PONTE NOVA;8458009.88;102787.08;6202416;14763212.96
PONTO CHIQUE;682895.46;8325.71;83713.93;774935.1
PONTO DOS VOLANTES;1079029.91;13068.3;269955.57;1362053.78
PORTEIRINHA;2406070.09;29112.07;2264675.84;4699858
PORTO FIRME;800298.19;9744.03;446728.74;1256770.96
POTE;1095734.05;13371.74;536069.97;1645175.76
POUSO ALEGRE;64879441.68;790476.63;23737656.68;89407574.99
POUSO ALTO;1961617.88;23699.28;455892.48;2441209.64
PRADOS;1676918.2;20392.35;666427;2363737.55
PRATA;7984510.1;97345.11;2877460.7;10959315.91
PRATAPOLIS;1459108.92;17835.22;851454.48;2328398.62
PRATINHA;1471878.65;18023.12;426517.79;1916419.56
PRESIDENTE BERNARDES;826158.26;10089.52;215037.49;1051285.27
PRESIDENTE JUSCELINO;804520.8;9850.97;149974.42;964346.19
PRESIDENTE KUBITSCHEK;631817.98;7708.01;106632.66;746158.65
PRESIDENTE OLEGARIO;5120930.97;62433.55;1605107.93;6788472.45
PRUDENTE DE MORAIS;1503952.67;18299.69;579757.54;2102009.9
QUARTEL GERAL;968229.48;11793.74;177565.97;1157589.19
QUELUZITO;646327.61;7878.6;130004.83;784211.04
RAPOSOS;1731934.96;20648.72;1060583.94;2813167.62
RAUL SOARES;1923871;23435.97;1623919.54;3571226.51
RECREIO;1070536.2;13032.49;573548.27;1657116.96
REDUTO;887494.42;10818.08;349502.86;1247815.36
RESENDE COSTA;1535424.71;18709.17;1165580.48;2719714.36
RESPLENDOR;1708161.9;20772.53;1206791.44;2935725.87
RESSAQUINHA;1220140.56;14861.88;354310.42;1589312.86
RIACHINHO;1321595.53;16123.75;248303.57;1586022.85
RIACHO DOS MACHADOS;1391278.14;16867.3;300014.43;1708159.87
RIBEIRAO DAS NEVES;22362326.49;272209.1;13701668.65;36336204.24
RIBEIRAO VERMELHO;783942.23;9466.1;261654.62;1055062.95
RIO ACIMA;8099942.21;98100.11;732866.57;8930908.89
RIO CASCA;1594510.19;19419.25;966341.11;2580270.55
RIO DO PRADO;689139.76;8373.12;131075.67;828588.55
RIO DOCE;892139.65;10683.94;168000.65;1070824.24
RIO ESPERA;619689.8;7556.78;286436.99;913683.57
